,left_gaze_point-X,left_gaze_point-Y,right_gaze_point-X,right_gaze_point-Y
0,0.1136174127459526, 0.35540205240249634,0.11404397338628769, 0.36022236943244934
1,0.12057899683713913, 0.3464225232601166,0.08907215297222137, 0.3487788438796997
2,0.0978446751832962, 0.25703561305999756,0.06838563829660416, 0.276467502117157
3,0.09678386151790619, 0.2483810931444168,0.06276699900627136, 0.26191040873527527
4,0.0900254100561142, 0.24686163663864136,0.052560120820999146, 0.2504134178161621
5,0.0896025076508522, 0.24295322597026825,0.04959680512547493, 0.24837103486061096
6,0.08838051557540894, 0.24791564047336578,0.049328677356243134, 0.2524019777774811
7,0.08608392626047134, 0.2444704920053482,0.051534540951251984, 0.2507094740867615
8,0.0825115293264389, 0.24186335504055023,0.04930971562862396, 0.25021690130233765
9,0.08181115984916687, 0.24621373414993286,0.04080326855182648, 0.2533125877380371
10,0.08454439043998718, 0.23859752714633942,0.051397908478975296, 0.24331702291965485
11,0.08558185398578644, 0.23138786852359772,0.04993218183517456, 0.2446540743112564
12,0.09118513017892838, 0.22076864540576935,0.05105019360780716, 0.2439996898174286
13,0.08683806657791138, 0.22773312032222748,0.0469757504761219, 0.2405785620212555
14,0.08170867711305618, 0.23255835473537445,0.050157807767391205, 0.24108879268169403
15,0.08038860559463501, 0.2352871298789978,0.05023713409900665, 0.23761548101902008
16,0.07833974063396454, 0.23942896723747253,0.05069873109459877, 0.2351764738559723
17,0.08458031713962555, 0.22344957292079926,0.04957055300474167, 0.23750261962413788
18,0.08401984721422195, 0.2233131229877472,0.04882976412773132, 0.22844524681568146
19,0.08334211260080338, 0.22383950650691986,0.04574325680732727, 0.23370049893856049
20,0.08915764838457108, 0.22137536108493805,0.046919140964746475, 0.24062712490558624
21,0.08683282881975174, 0.22918854653835297,0.04497547075152397, 0.23669271171092987
22,0.08388558775186539, 0.22937437891960144,0.04515863209962845, 0.23238146305084229
23,0.08250176906585693, 0.22711798548698425,0.05264304578304291, 0.23280782997608185
24,0.08851221203804016, 0.2200903743505478,0.048846833407878876, 0.23138770461082458
25,0.08989746868610382, 0.2183578461408615,0.04481770843267441, 0.23020359873771667
26,0.0886048898100853, 0.22462375462055206,0.04611499235033989, 0.22717580199241638
27,0.08859480172395706, 0.22635848820209503,0.04398242011666298, 0.2291092723608017
28,0.08854261040687561, 0.2188320904970169,0.04382847994565964, 0.2331475019454956
29,0.08867567777633667, 0.21614207327365875,0.047275811433792114, 0.23805157840251923
