Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((0.43968576192855835, 0.4759642481803894)) 	 Right eye: ((0.5549378395080566, 0.47316208481788635))
Left eye: ((0.5653585195541382, 0.5687980055809021)) 	 Right eye: ((0.6481333374977112, 0.5742778182029724))
Left eye: ((0.5783976912498474, 0.5687717795372009)) 	 Right eye: ((0.6655877232551575, 0.5935853719711304))
Left eye: ((0.5738120079040527, 0.5717782378196716)) 	 Right eye: ((0.6607527732849121, 0.5910431146621704))
Left eye: ((0.5715093612670898, 0.5708264112472534)) 	 Right eye: ((0.6581997275352478, 0.5988712310791016))
Left eye: ((0.5703686475753784, 0.5723816156387329)) 	 Right eye: ((0.6571094393730164, 0.601306140422821))
Left eye: ((0.572735607624054, 0.5704485177993774)) 	 Right eye: ((0.6595569849014282, 0.5995656251907349))
Left eye: ((0.5709002017974854, 0.5673961043357849)) 	 Right eye: ((0.6616068482398987, 0.5970557928085327))
Left eye: ((0.5711535215377808, 0.5633724331855774)) 	 Right eye: ((0.6643840670585632, 0.6039810180664062))
Left eye: ((0.574872612953186, 0.5656601786613464)) 	 Right eye: ((0.6613409519195557, 0.6067126989364624))
Left eye: ((0.5735213756561279, 0.5700071454048157)) 	 Right eye: ((0.6582127213478088, 0.6124021410942078))
Left eye: ((0.5738639831542969, 0.5673856139183044)) 	 Right eye: ((0.6633070111274719, 0.6169257760047913))
Left eye: ((0.5756067037582397, 0.5652872920036316)) 	 Right eye: ((0.6647883057594299, 0.6063209176063538))
Left eye: ((0.6203330755233765, 0.5938880443572998)) 	 Right eye: ((0.7114185690879822, 0.6184662580490112))
Left eye: ((0.682508111000061, 0.6031075716018677)) 	 Right eye: ((0.7760568857192993, 0.6571577191352844))
Left eye: ((0.7362444996833801, 0.6185011863708496)) 	 Right eye: ((0.8359249234199524, 0.6639025211334229))
Left eye: ((0.7356957793235779, 0.6110690236091614)) 	 Right eye: ((0.8312027454376221, 0.6591974496841431))
Left eye: ((0.7317847013473511, 0.6192775368690491)) 	 Right eye: ((0.830095648765564, 0.6616958379745483))
Left eye: ((0.7330640554428101, 0.6226874589920044)) 	 Right eye: ((0.8285802006721497, 0.6648893356323242))
Left eye: ((0.73238205909729, 0.6143692135810852)) 	 Right eye: ((0.8319504261016846, 0.6634774804115295))
Left eye: ((0.7349165081977844, 0.620703935623169)) 	 Right eye: ((0.8306732177734375, 0.6673619747161865))
Left eye: ((0.7314237356185913, 0.62518709897995)) 	 Right eye: ((0.8290998339653015, 0.6772170662879944))
Left eye: ((0.7345690727233887, 0.6165366172790527)) 	 Right eye: ((0.8344268202781677, 0.6763025522232056))
Left eye: ((0.7371443510055542, 0.6188951730728149)) 	 Right eye: ((0.831996738910675, 0.6756399273872375))
Left eye: ((0.736254870891571, 0.6245543956756592)) 	 Right eye: ((0.8291274309158325, 0.6690108180046082))
Left eye: ((0.7303228974342346, 0.6138303875923157)) 	 Right eye: ((0.8290872573852539, 0.672193706035614))
Left eye: ((0.7278116345405579, 0.6112858653068542)) 	 Right eye: ((0.8330988883972168, 0.6748906970024109))
Left eye: ((0.7358207702636719, 0.6160784363746643)) 	 Right eye: ((0.8350180983543396, 0.672566294670105))
Left eye: ((0.7322067022323608, 0.6236252784729004)) 	 Right eye: ((0.8328531384468079, 0.671342134475708))
Left eye: ((0.7312312722206116, 0.6227683424949646)) 	 Right eye: ((0.8319103717803955, 0.6780834794044495))
Left eye: ((0.7296142578125, 0.6188249588012695)) 	 Right eye: ((0.8346074223518372, 0.6736584901809692))
Left eye: ((0.7317339181900024, 0.6182401180267334)) 	 Right eye: ((0.8318126797676086, 0.6722208261489868))
Left eye: ((0.7341688275337219, 0.6178691387176514)) 	 Right eye: ((0.8338130116462708, 0.6777700781822205))
Left eye: ((0.7096925377845764, 0.5007962584495544)) 	 Right eye: ((0.8069139122962952, 0.5026620626449585))
