timestamp,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
2024-04-19 10:34:21.192019,"(0.09041645377874374, 0.21638698875904083)",1,"(0.043031804263591766, 0.24485571682453156)",1,4.7352294921875,1,4.95684814453125,1
2024-04-19 10:34:21.208741,"(0.08871277421712875, 0.22105903923511505)",1,"(0.04634058102965355, 0.24387644231319427)",1,4.7635650634765625,1,4.951202392578125,1
2024-04-19 10:34:21.225884,"(0.09038551896810532, 0.21978791058063507)",1,"(0.04549887776374817, 0.2412441521883011)",1,4.7798004150390625,1,4.965087890625,1
2024-04-19 10:34:21.242332,"(0.08953412622213364, 0.21949777007102966)",1,"(0.05146630108356476, 0.23493516445159912)",1,4.778839111328125,1,4.9961395263671875,1
2024-04-19 10:34:21.258527,"(0.08779807388782501, 0.22256457805633545)",1,"(0.048901088535785675, 0.23333100974559784)",1,4.7766571044921875,1,5.0017547607421875,1
2024-04-19 10:34:21.275379,"(0.08457621932029724, 0.2295789271593094)",1,"(0.04701683297753334, 0.23495447635650635)",1,4.7851715087890625,1,5.0211944580078125,1
2024-04-19 10:34:21.291709,"(0.0851920023560524, 0.23034913837909698)",1,"(0.04118168354034424, 0.2427113801240921)",1,4.7878570556640625,1,5.00994873046875,1
2024-04-19 10:34:21.308347,"(0.08827657997608185, 0.22602693736553192)",1,"(0.04899747669696808, 0.24265484511852264)",1,4.8167572021484375,1,5.0291595458984375,1
2024-04-19 10:34:21.325102,"(0.0856737494468689, 0.23108556866645813)",1,"(0.04569710046052933, 0.24290457367897034)",1,4.8335418701171875,1,5.03021240234375,1
2024-04-19 10:34:21.341750,"(0.08553668856620789, 0.2306717187166214)",1,"(0.04500845819711685, 0.2335899919271469)",1,4.844757080078125,1,5.052978515625,1
2024-04-19 10:34:21.358362,"(0.08603720366954803, 0.23150695860385895)",1,"(0.04779304191470146, 0.23636354506015778)",1,4.8356170654296875,1,5.062225341796875,1
2024-04-19 10:34:21.374992,"(0.08716866374015808, 0.23591633141040802)",1,"(0.052957188338041306, 0.250252902507782)",1,4.8361968994140625,1,5.055328369140625,1
2024-04-19 10:34:21.391669,"(0.08948899060487747, 0.2320084422826767)",1,"(0.056729163974523544, 0.2447083443403244)",1,4.8451080322265625,1,5.0589447021484375,1
2024-04-19 10:34:21.408348,"(0.08488994091749191, 0.2404814213514328)",1,"(0.053307659924030304, 0.25212472677230835)",1,4.847625732421875,1,5.0462188720703125,1
2024-04-19 10:34:21.425222,"(0.08181094378232956, 0.24507112801074982)",1,"(0.048791829496622086, 0.2462891787290573)",1,4.8597412109375,1,5.0623931884765625,1
2024-04-19 10:34:21.442149,"(0.08426347374916077, 0.23938120901584625)",1,"(0.0516628697514534, 0.2411167025566101)",1,4.87042236328125,1,5.085845947265625,1
2024-04-19 10:34:21.458501,"(0.0877254530787468, 0.23401415348052979)",1,"(0.057482555508613586, 0.244714617729187)",1,4.8742828369140625,1,5.1011962890625,1
2024-04-19 10:34:21.475300,"(0.08413037657737732, 0.24437540769577026)",1,"(0.06230104714632034, 0.24052080512046814)",1,4.8845672607421875,1,5.115509033203125,1
2024-04-19 10:34:21.491818,"(0.0851086676120758, 0.24081389605998993)",1,"(0.05694066733121872, 0.24470160901546478)",1,4.894256591796875,1,5.10455322265625,1
2024-04-19 10:34:21.508178,"(0.0835762768983841, 0.24426798522472382)",1,"(0.05297333374619484, 0.24337156116962433)",1,4.909759521484375,1,5.104736328125,1
2024-04-19 10:34:21.524825,"(0.08453764766454697, 0.24204902350902557)",1,"(0.05487774685025215, 0.24990403652191162)",1,4.9169464111328125,1,5.11090087890625,1
2024-04-19 10:34:21.541635,"(0.0859161987900734, 0.24088339507579803)",1,"(0.05564497783780098, 0.250814825296402)",1,4.9226226806640625,1,5.1192474365234375,1
2024-04-19 10:34:21.558260,"(0.08824919909238815, 0.24191275238990784)",1,"(0.06196437031030655, 0.25286865234375)",1,4.9340362548828125,1,5.13018798828125,1
2024-04-19 10:34:21.574939,"(0.08913866430521011, 0.2433982789516449)",1,"(0.06170964613556862, 0.2566866874694824)",1,4.9430694580078125,1,5.129150390625,1
2024-04-19 10:34:21.591603,"(0.08982738852500916, 0.24013751745224)",1,"(0.05708424374461174, 0.2614612281322479)",1,4.9439697265625,1,5.15045166015625,1
2024-04-19 10:34:21.608130,"(0.08912321925163269, 0.24572572112083435)",1,"(0.05726933479309082, 0.2607903480529785)",1,4.9608917236328125,1,5.148284912109375,1
2024-04-19 10:34:21.625101,"(0.07990559190511703, 0.2801065146923065)",1,"(0.06005535274744034, 0.2822990417480469)",1,4.970947265625,1,5.1490020751953125,1
2024-04-19 10:34:21.641550,"(0.08138088136911392, 0.27216678857803345)",1,"(0.059096310287714005, 0.2805890738964081)",1,4.972808837890625,1,5.1431121826171875,1
2024-04-19 10:34:21.657855,"(0.08492756634950638, 0.2696874439716339)",1,"(0.06286659091711044, 0.2810913324356079)",1,4.98736572265625,1,5.148162841796875,1
2024-04-19 10:34:21.674768,"(0.08597207069396973, 0.2717200219631195)",1,"(0.062224362045526505, 0.2791801989078522)",1,4.991943359375,1,5.159271240234375,1
2024-04-19 10:34:21.691515,"(0.08483423292636871, 0.2715644836425781)",1,"(0.06633047759532928, 0.2773526608943939)",1,4.999969482421875,1,5.157745361328125,1
2024-04-19 10:34:21.707762,"(0.08329244703054428, 0.272190123796463)",1,"(0.06576324999332428, 0.28556132316589355)",1,5.00909423828125,1,5.170318603515625,1
2024-04-19 10:34:21.724731,"(0.08284743130207062, 0.2734534740447998)",1,"(0.06819473206996918, 0.2850715219974518)",1,5.0267333984375,1,5.1789398193359375,1
